ID,Name,Genres,Platforms,Runs,ReleaseDate
238,Streets of Rage 2,Brawler,"Sega Genesis, PlayStation 3, Xbox 360, PlayStation 4, Xbox One, PC, Wii, Switch",393,1989-09-14
239,Super Castlevania IV,Action,"Super Nintendo, Wii Virtual Console, SNES Classic Mini",204,1992-12-20
240,Luigi's Mansion 3,Action-Adventure,Switch,337,1991-10-31
241,Grand Theft Auto Online,Sandbox,"PlayStation 3, Xbox 360, PlayStation 4, Xbox One, PC, PlayStation 5, Xbox Series X, Xbox Series S",543,2019-10-31
242,Pokémon Puzzle League,Puzzle,"Nintendo 64, Wii Virtual Console",378,2013-09-17
243,Fallout: New Vegas,RPG,"PlayStation 3, Xbox 360, PlayStation 4, Xbox One, PC",242,2000-09-25
244,The Legend of Zelda: The Wind Waker,Action-Adventure,GameCube,352,2010-10-19
245,Tony Hawk's Underground,Sports,"GameCube, PlayStation 2, Xbox 360, Xbox, PC",254,2002-12-13
246,McPlayHD,Misc,"PC, Macintosh, Linux",412,2003-10-28
247,Donkey Kong Country 3: Dixie Kong's Double Trouble!,2D Platformer,"Super Nintendo, Wii Virtual Console, Wii U Virtual Console, New Nintendo 3DS Virtual Console, SNES Classic Mini, Switch Virtual Console",390,2015-09-13
248,Penumbra: Black Plague,Horror,"PC, Macintosh, Linux",280,1996-11-22
249,The SpongeBob SquarePants Movie,3D Platformer,"GameCube, PlayStation 2, Xbox 360, Xbox, Wii, PSN Download, backwards-compatible PlayStation 3",223,2008-02-12
250,Pokémon Snap,Misc,"Nintendo 64, Wii Virtual Console, Wii U Virtual Console",283,2004-10-27
251,Resident Evil 5,Horror,"PlayStation 3, Xbox 360, PlayStation 4, Xbox One, PC, Switch, PlayStation 5, Xbox Series X, Xbox Series S",489,1999-03-21
252,Crash Bandicoot,3D Platformer,"PlayStation 2, PlayStation, PlayStation 3, PlayStation Portable, PlayStation Vita, Playstation TV",265,2009-03-05
253,The Legend of Zelda: The Minish Cap,Action-Adventure,"Game Boy Advance, Nintendo 3DS Virtual Console, Wii U Virtual Console, Game Boy Interface",227,1996-09-09
254,Crash Team Racing: Nitro-Fueled,Racing,"PlayStation 4, Xbox One, Switch, Xbox One X, PlayStation 4 Pro, Xbox One S, PlayStation 5, Xbox Series X, Xbox Series S",303,2004-11-04
255,Dragster,Racing,"Atari 2600, Atari 7800",397,2019-06-21
256,Clustertruck,Parkour,"PlayStation 4, Xbox One, PC, Switch",312,1980-01-01
257,Ratchet & Clank: Up Your Arsenal,Action,"PlayStation 2, PlayStation 3, PlayStation Vita, backwards-compatible PlayStation 3",173,2016-09-27
258,Geometry Dash World,2D Platformer,"Android, iOS",510,2004-11-02
259,The Talos Principle,Puzzle,"PlayStation 4, Xbox One, PC, Android, iOS, Macintosh, Linux, Switch",274,2016-12-21
260,Clash of Clans,Strategy,"PC, Android, iOS",395,2014-12-11
261,Outer Wilds,Action-Adventure,"PlayStation 4, Xbox One, PC, Xbox One X, PlayStation 4 Pro, Xbox One S, PlayStation 5, Xbox Series X, Xbox Series S",347,2012-01-01
262,Hypixel Arcade Games,Misc,"PC, Macintosh, Linux",575,2019-05-28
263,Star Fox 64,Action,"Nintendo 64, Wii Virtual Console, Wii U Virtual Console, iQue Player, Switch Virtual Console",362,2014-05-27
264,Wii Play,Misc,"Wii U, Wii",446,1997-04-27
265,Momodora: Reverie Under the Moonlight,2D Platformer,"PlayStation 4, Xbox One, PC, Switch",302,2007-02-12
