ID,Name,Genres,Platforms,Runs,ReleaseDate
459,Kirby 64: The Crystal Shards,2D Platformer,"Nintendo 64, Wii Virtual Console, Wii U, Wii, Wii U Virtual Console",156,2020-06-05
460,Mario Golf: Super Rush,Sports,Switch,270,2000-03-24
461,The Legend of Zelda: Twilight Princess HD,Action-Adventure,Wii U,146,2021-06-25
462,Ape Escape 2,3D Platformer,"PlayStation 2, PlayStation 4, Playstation Now, backwards-compatible PlayStation 3, PS5 for backward compatible games",114,2016-03-04
463,Left 4 Dead 2,First-person shooter,"Xbox 360, Xbox One, PC, Macintosh, Linux, Xbox Series X, Xbox Series S",203,2002-07-18
464,"Ooh, Aah & You: Fetch-A-Fruit",Misc,Web,257,2009-11-17
465,Rayman,2D Platformer,"Sega Saturn, Game Boy Advance, Nintendo DS, Nintendo 3DS, PlayStation 2, PlayStation, PlayStation 3, PlayStation Portable, PC, MS-DOS, Android, iOS, Atari Jaguar, Playstation Classic",126,2005-07-15
466,Easy Obby!,Parkour,"Xbox One, PC, Android, iOS, Macintosh, Xbox Series X, Xbox Series S",318,1995-09-01
467,Hotline Miami 2: Wrong Number,Action,"PlayStation 3, Xbox 360, PlayStation Vita, PlayStation 4, Xbox One, PC, Android, Macintosh, Switch, Xbox Series X",125,2020-11-19
468,Castle Crashers,Brawler,"PlayStation 3, Xbox 360, PlayStation 4, Xbox One, PC, Switch",188,2015-03-10
469,Street Fighter V: Champion Edition,Brawler,"PlayStation 4, PC, PlayStation 4 Pro, PlayStation 5",221,2008-08-27
470,Castlevania II: Simon's Quest,2D Platformer,"Nintendo Entertainment System, Wii Virtual Console, PlayStation 4, Xbox One, PC, Famicom Disk System, Wii U Virtual Console, NES Classic Mini, Switch",177,2016-02-16
471,Granny: Chapter Two,Horror,"Android, iOS",193,1987-08-28
472,Golf It!,Sports,PC,288,2019-09-06
473,Timberman VS,Misc,"Nintendo 3DS, PlayStation 4, Xbox One, PC, New Nintendo 3DS, Macintosh, Linux, Switch, PlayStation 5, Xbox Series X, Xbox Series S, Nintendo Switch Lite",339,2017-02-17
474,Animal Crossing,Misc,"GameCube, Wii",192,2018-05-03
475,Trackmania,Racing,PC,282,2002-09-15
476,Hitman 3,Action,"PlayStation 4, Xbox One, PC, Switch, Google Stadia, PlayStation 5, Xbox Series X, Xbox Series S",293,2020-07-01
477,Octodad: Dadliest Catch,Misc,"Wii U, PlayStation Vita, PlayStation 4, Xbox One, PC, Android, iOS, Switch, PlayStation 5",208,2021-01-20
478,Pokémon FireRed/LeafGreen,RPG,"Game Boy Advance, Nintendo DS, Game Boy Player, Game Boy Interface",187,2014-01-01
479,Fallout 4,RPG,"PlayStation 4, Xbox One, PC",146,2004-01-29
480,Bugsnax,First-person shooter,"PlayStation 4, PC, Macintosh, PlayStation 5",175,2015-11-10
481,Super Mario All-Stars,2D Platformer,"Super Nintendo, Wii U, Wii, Switch",198,2020-11-12
482,Sesame Street Fighter,Brawler,PC,340,1993-07-14
